player_id,first_name,last_name,position,team_id,status,total_points,current_value,selected_by_percent,news,photo,image_status
339,Louie,Watson,3,12,a,0,45,0.3,,223333.jpg,Downloaded
340,Cauley,Woodrow,4,12,a,1,45,0.8,,91046.jpg,Downloaded
341,Manuel,Akanji,2,13,a,13,51,9.5,,211975.jpg,Downloaded
342,Nathan,Aké,2,13,a,7,51,6.9,,126184.jpg,Downloaded
343,Julián,Álvarez,4,13,a,12,66,8.0,,461358.jpg,Downloaded
344,Bernardo,Veiga de Carvalho e Silva,3,13,d,3,64,2.6,Illness - 75% chance of playing,165809.jpg,Downloaded
345,Oscar,Bobb,3,13,a,0,45,0.0,,477555.jpg,Downloaded
346,João,Cancelo,2,13,a,0,59,2.5,,121145.jpg,Downloaded
347,Scott,Carson,1,13,a,0,40,0.1,,17601.jpg,Downloaded
349,Kevin,De Bruyne,3,13,i,1,103,3.3,Hamstring injury - Expected back 16 Dec,61366.jpg,Downloaded
350,Rúben,Gato Alves Dias,2,13,a,7,55,6.8,,171314.jpg,Downloaded
351,Tommy,Doyle,3,13,a,0,45,0.0,,220394.jpg,Downloaded
352,Ederson,Santana de Moraes,1,13,a,12,55,18.0,,121160.jpg,Downloaded
353,Phil,Foden,3,13,a,12,76,11.8,,209244.jpg,Downloaded
354,Jack,Grealish,3,13,a,3,74,4.4,,114283.jpg,Downloaded
355,Erling,Haaland,4,13,a,15,140,91.1,,223094.jpg,Downloaded
356,Mateo,Kovačić,3,13,a,6,50,1.1,,91651.jpg,Downloaded
357,Aymeric,Laporte,2,13,a,1,49,0.4,,146941.jpg,Downloaded
358,Rico,Lewis,2,13,a,6,45,0.6,,477064.jpg,Downloaded
359,Riyad,Mahrez,3,13,u,0,75,0.1,Permanent transfer to Al-Ahli,103025.jpg,Downloaded
360,James,McAtee,3,13,a,1,45,0.0,,432714.jpg,Downloaded
361,Stefan,Ortega Moreno,1,13,a,0,40,0.7,,88248.jpg,Downloaded
362,Cole,Palmer,3,13,a,1,50,0.2,,244851.jpg,Downloaded
363,Máximo,Perrone,3,13,a,0,45,0.0,,482769.jpg,Downloaded
364,Kalvin,Phillips,3,13,a,0,49,0.0,,155405.jpg,Downloaded
365,Rodrigo,Hernandez,3,13,a,16,56,10.1,,220566.jpg,Downloaded
366,Sergio,Gómez,2,13,a,0,40,0.8,,437468.jpg,Downloaded
367,Zack,Steffen,1,13,a,0,40,0.1,,164484.jpg,Downloaded
368,John,Stones,2,13,i,0,53,10.8,Muscle injury - Expected back 16 Sep,97299.jpg,Downloaded
369,Kyle,Walker,2,13,a,12,51,7.5,,58621.jpg,Downloaded
370,Alex,Telles,2,14,u,0,45,0.0,Permanent transfer to Al Nassr,152590.jpg,Downloaded
371,Amad,Diallo,3,14,i,0,45,0.0,Knee injury - Expected back 25 Aug,493250.jpg,Downloaded
372,Antony Matheus,dos Santos,3,14,a,4,70,1.2,,467169.jpg,Downloaded
373,Bruno,Borges Fernandes,3,14,a,4,85,23.1,,141746.jpg,Downloaded
374,Brandon,Williams,2,14,a,0,40,0.2,,232937.jpg,Downloaded
375,Eric,Bailly,2,14,a,0,40,0.2,,197365.jpg,Downloaded
376,Carlos Henrique,Casimiro,3,14,a,5,55,4.3,,61256.jpg,Downloaded
377,Diogo,Dalot Teixeira,2,14,a,1,49,1.4,,216051.jpg,Downloaded
378,Anthony,Elanga,3,16,a,5,50,0.8,,449434.jpg,Downloaded
379,Christian,Eriksen,3,14,a,2,59,0.5,,80607.jpg,Downloaded
381,Frederico,Rodrigues de Paula Santos,3,14,u,0,50,0.1,Permanent transfer to Fenerbahce,101582.jpg,Downloaded
382,Alejandro,Garnacho,3,14,a,5,50,2.3,,493105.jpg,Downloaded
383,Hannibal,Mejbri,3,14,a,0,44,0.1,,465527.jpg,Downloaded
384,Tom,Heaton,1,14,i,0,40,0.1,Calf injury - Unknown return date,21205.jpg,Downloaded
385,Dean,Henderson,1,14,a,0,45,0.3,,172649.jpg,Downloaded
386,Victor,Lindelöf,2,14,a,1,45,0.2,,184667.jpg,Downloaded
387,Harry,Maguire,2,14,a,0,44,0.4,,95658.jpg,Downloaded
389,Tyrell,Malacia,2,14,i,0,44,0.0,Knock - Unknown return date,222690.jpg,Downloaded
390,Anthony,Martial,4,14,a,1,65,0.3,,148225.jpg,Downloaded
391,Lisandro,Martínez,2,14,a,-1,49,5.9,,221820.jpg,Downloaded
392,Scott,McTominay,3,14,a,1,50,0.1,,195851.jpg,Downloaded
393,Teden,Mengi,2,14,a,0,40,0.1,,244856.jpg,Downloaded
394,Facundo,Pellistri Rebollo,3,14,a,2,45,0.1,,488404.jpg,Downloaded
395,Raphaël,Varane,2,14,a,15,51,6.2,,90152.jpg,Downloaded
396,Marcus,Rashford,3,14,a,5,90,44.1,,176297.jpg,Downloaded
397,Jadon,Sancho,3,14,a,2,69,0.8,,209243.jpg,Downloaded
398,Luke,Shaw,2,14,a,6,55,24.7,,106760.jpg,Downloaded
399,Shola,Shoretire,4,14,a,0,45,0.2,,472464.jpg,Downloaded
400,Donny,van de Beek,3,14,a,0,49,0.1,,180184.jpg,Downloaded
401,Aaron,Wan-Bissaka,2,14,a,13,46,5.3,,214590.jpg,Downloaded
402,Miguel,Almirón Rejala,3,15,a,4,64,6.4,,179018.jpg,Downloaded
403,Elliot,Anderson,3,15,a,2,45,4.9,,215379.jpg,Downloaded
404,Harrison,Ashby,2,15,u,0,40,0.0,Season long loan to Swansea,441024.jpg,Downloaded
405,Sven,Botman,2,15,a,7,45,19.3,,220237.jpg,Downloaded
406,Bruno,Guimarães Rodriguez Moura,3,15,a,2,60,2.9,,208706.jpg,Downloaded
407,Dan,Burn,2,15,a,4,45,3.1,,78916.jpg,Downloaded
408,Karl,Darlow,1,15,u,0,40,0.0,Permanent move to Leeds Utd,59735.jpg,Downloaded
409,Martin,Dubravka,1,15,a,0,40,1.1,,67089.jpg,Downloaded
